date,h,l
2022-08-07,0,0
2022-08-08,0,0
2022-08-09,0,0
2022-08-10,0,0
2022-08-11,0,0
2022-08-12,0,0
2022-08-13,0,0
2022-08-14,0,0
2022-08-15,0,0
2022-08-16,0,0
2022-08-17,0,0
2022-08-18,0,0
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,0,0
2022-08-26,0,0
2022-08-27,0,0
2022-08-28,0,0
2022-08-29,0,0
2022-08-30,0,0
2022-08-31,0,0
2022-09-01,0,0
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,0,0
2022-09-07,0,0
2022-09-08,0,0
2022-09-09,0,0
2022-09-10,0,0
2022-09-11,0,0
2022-09-12,0,0
2022-09-13,0,0
2022-09-14,0,0
2022-09-15,0,0
2022-09-16,0,0
2022-09-17,0,0
2022-09-18,0,0
2022-09-19,0,0
2022-09-20,0,0
2022-09-21,0,0
2022-09-22,0,0
2022-09-23,0,0
2022-09-24,0,0
2022-09-25,0,0
2022-09-26,0,0
2022-09-27,0,0
2022-09-28,0,0
2022-09-29,0,0
2022-09-30,0,0
2022-10-01,0,0
2022-10-02,0,0
2022-10-03,0,0
2022-10-04,0,0
2022-10-05,0,0
2022-10-06,0,0
2022-10-07,0,0
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,0,0
2022-10-11,0,0
2022-10-12,0,0
2022-10-13,0,0
2022-10-14,0,0
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,0,0
2022-10-18,0,0
2022-10-19,0,0
2022-10-20,0,0
2022-10-21,0,0
2022-10-22,0,0
2022-10-23,0,0
2022-10-24,0,0
2022-10-25,0,0
2022-10-26,0,0
2022-10-27,0,0
2022-10-28,0,0
2022-10-29,0,0
2022-10-30,0,0
2022-10-31,0,0
2022-11-01,0,0
2022-11-02,0,0
2022-11-03,0,0
2022-11-04,0,0
2022-11-05,0,0
2022-11-06,0,0
2022-11-07,0,0
2022-11-08,0,0
2022-11-09,0,0
2022-11-10,0,0
2022-11-11,0,0
2022-11-12,0,0
2022-11-13,0,0
2022-11-14,0,0
2022-11-15,0,0
2022-11-16,0,0
2022-11-17,0,0
2022-11-18,0,0
2022-11-19,0,0
2022-11-20,0,0
2022-11-21,0,0
2022-11-22,0,0
2022-11-23,0,0
2022-11-24,0,0
2022-11-25,0,0
2022-11-26,0,0
2022-11-27,0,0
2022-11-28,0,0
2022-11-29,0,0
2022-11-30,0,0
2022-12-01,0,0
2022-12-02,0,0
2022-12-03,0,0
2022-12-04,0,0
2022-12-05,0,0
2022-12-06,0,0
2022-12-07,0,0
2022-12-08,0,0
2022-12-09,0,0
2022-12-10,0,0
2022-12-11,0,0
2022-12-12,0,0
2022-12-13,0,0
2022-12-14,0,0
2022-12-15,0,0
2022-12-16,0,0
2022-12-17,0,0
2022-12-18,0,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,0,0
2022-12-22,0,0
2022-12-23,0,0
2022-12-24,0,0
2022-12-25,0,0
2022-12-26,0,0
2022-12-27,0,0
2022-12-28,0,0
2022-12-29,0,0
2022-12-30,0,0
2022-12-31,0,0
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,0,0
2023-01-08,0,0
2023-01-09,0,0
2023-01-10,0,0
2023-01-11,0,0
2023-01-12,0,0
2023-01-13,0,0
2023-01-14,0,0
2023-01-15,0,0
2023-01-16,0,0
2023-01-17,0,0
2023-01-18,0,0
2023-01-19,0,0
2023-01-20,0,0
2023-01-21,0,0
2023-01-22,0,0
2023-01-23,0,0
2023-01-24,0,0
2023-01-25,0,0
2023-01-26,0,0
2023-01-27,0,0
2023-01-28,0,0
2023-01-29,0,0
2023-01-30,0,0
2023-01-31,0,0
2023-02-01,0,0
2023-02-02,0,0
2023-02-03,0,0
2023-02-04,0,0
2023-02-05,0,0
2023-02-06,0,0
2023-02-07,0,0
2023-02-08,0,0
2023-02-09,0,0
2023-02-10,0,0
2023-02-11,0,0
2023-02-12,0,0
2023-02-13,0,0
2023-02-14,0,0
2023-02-15,0,0
2023-02-16,0,0
2023-02-17,0,0
2023-02-18,0,0
2023-02-19,0,0
2023-02-20,0,0
2023-02-21,0,0
2023-02-22,0,0
2023-02-23,0,0
2023-02-24,0,0
2023-02-25,0,0
2023-02-26,0,0
2023-02-27,0,0
2023-02-28,0,0
2023-03-01,0,0
2023-03-02,0,0
2023-03-03,0,0
2023-03-04,0,0
2023-03-05,0,0
2023-03-06,0,0
2023-03-07,0,0
2023-03-08,0,0
2023-03-09,0,0
2023-03-10,0,0
2023-03-11,0,0
2023-03-12,0,0
2023-03-13,0,0
2023-03-14,0,0
2023-03-15,0,0
2023-03-16,0,0
2023-03-17,0,0
2023-03-18,0,0
2023-03-19,0,0
2023-03-20,0,0
2023-03-21,0,0
2023-03-22,0,0
2023-03-23,0,0
2023-03-24,0,0
2023-03-25,0,0
2023-03-26,0,0
2023-03-27,0,0
2023-03-28,0,0
2023-03-29,0,0
2023-03-30,0,0
2023-03-31,0,0
2023-04-01,0,0
2023-04-02,0,0
2023-04-03,0,0
2023-04-04,0,0
2023-04-05,0,0
2023-04-06,0,0
2023-04-07,0,0
2023-04-08,0,0
2023-04-09,0,0
2023-04-10,0,0
2023-04-11,0,0
2023-04-12,0,0
2023-04-13,0,0
2023-04-14,0,0
2023-04-15,0,0
2023-04-16,0,0
2023-04-17,0,0
2023-04-18,0,0
2023-04-19,0,0
2023-04-20,0,0
2023-04-21,0,0
2023-04-22,0,0
2023-04-23,0,0
2023-04-24,0,0
2023-04-25,0,0
2023-04-26,0,0
2023-04-27,0,0
2023-04-28,0,0
2023-04-29,0,0
2023-04-30,0,0
2023-05-01,0,0
2023-05-02,0,0
2023-05-03,0,0
2023-05-04,0,0
2023-05-05,0,0
2023-05-06,0,0
2023-05-07,0,0
2023-05-08,0,0
2023-05-09,0,0
2023-05-10,0,0
2023-05-11,0,0
2023-05-12,0,0
2023-05-13,0,0
2023-05-14,0,0
2023-05-15,0,0
2023-05-16,0,0
2023-05-17,0,0
2023-05-18,0,0
2023-05-19,0,0
2023-05-20,0,0
2023-05-21,0,0
2023-05-22,0,0
2023-05-23,0,0
2023-05-24,0,0
2023-05-25,0,0
2023-05-26,0,0
2023-05-27,0,0
2023-05-28,0,0
2023-05-29,0,0
2023-05-30,0,0
2023-05-31,0,0
2023-06-01,0,0
2023-06-02,0,0
2023-06-03,0,0
2023-06-04,0,0
2023-06-05,0,0
2023-06-06,0,0
2023-06-07,0,0
2023-06-08,0,0
2023-06-09,0,0
2023-06-10,0,0
2023-06-11,0,0
2023-06-12,0,0
2023-06-13,0,0
2023-06-14,0,0
2023-06-15,0,0
2023-06-16,0,0
2023-06-17,0,0
2023-06-18,0,0
2023-06-19,0,0
2023-06-20,0,0
2023-06-21,0,0
2023-06-22,0,0
2023-06-23,0,0
2023-06-24,0,0
2023-06-25,0,0
2023-06-26,0,0
2023-06-27,0,0
2023-06-28,0,0
2023-06-29,0,0
2023-06-30,0,0
2023-07-01,0,0
2023-07-02,0,0
2023-07-03,0,0
2023-07-04,0,0
2023-07-05,0,0
2023-07-06,0,0
2023-07-07,0,0
2023-07-08,0,0
2023-07-09,0,0
2023-07-10,0,0
2023-07-11,0,0
2023-07-12,0,0
2023-07-13,0,0
2023-07-14,0,0
2023-07-15,0,0
2023-07-16,0,0
2023-07-17,0,0
2023-07-18,0,0
2023-07-19,0,0
2023-07-20,0,0
2023-07-21,0,0
2023-07-22,0,0
2023-07-23,0,0
2023-07-24,0,0
2023-07-25,0,0
2023-07-26,0,0
2023-07-27,0,0
2023-07-28,0,0
2023-07-29,0,0
2023-07-30,0,0
2023-07-31,0,0
2023-08-01,0,0
2023-08-02,0,0
2023-08-03,0,0
2023-08-04,0,0
2023-08-05,0,0
2023-08-06,0,0
2023-08-07,0,0
2023-08-08,0,0
2023-08-09,0,0
2023-08-10,0,0
2023-08-11,0,0
2023-08-12,0,0
2023-08-13,0,0
2023-08-14,0,0
2023-08-15,0,0
2023-08-16,0,0
2023-08-17,0,0
2023-08-18,0,0
2023-08-19,0,0
2023-08-20,0,0
2023-08-21,0,0
2023-08-22,0,0
2023-08-23,0,0
2023-08-24,0,0
2023-08-25,0,0
2023-08-26,0,0
2023-08-27,0,0
2023-08-28,0,0
2023-08-29,0,0
2023-08-30,0,0
2023-08-31,0,0
2023-09-01,0,0
2023-09-02,0,0
2023-09-03,0,0
2023-09-04,0,0
2023-09-05,0,0
2023-09-06,0,0
2023-09-07,0,0
2023-09-08,0,0
2023-09-09,0,0
2023-09-10,0,0
2023-09-11,0,0
2023-09-12,0,0
2023-09-13,0,0
2023-09-14,0,0
2023-09-15,0,0
2023-09-16,0,0
2023-09-17,0,0
2023-09-18,0,0
2023-09-19,0,0
2023-09-20,0,0
2023-09-21,0,0
2023-09-22,0,0
2023-09-23,0,0
2023-09-24,0,0
2023-09-25,0,0
2023-09-26,0,0
2023-09-27,0,0
2023-09-28,0,0
2023-09-29,0,0
2023-09-30,0,0
2023-10-01,0,0
2023-10-02,0,0
2023-10-03,0,0
2023-10-04,0,0
2023-10-05,0,0
2023-10-06,0,0
2023-10-07,0,0
2023-10-08,0,0
2023-10-09,0,0
2023-10-10,0,0
2023-10-11,0,0
2023-10-12,0,0
2023-10-13,0,0
2023-10-14,0,0
2023-10-15,0,0
2023-10-16,0,0
2023-10-17,0,0
2023-10-18,0,0
2023-10-19,0,0
2023-10-20,0,3
2023-10-21,0,17
2023-10-22,795,234
2023-10-23,3114,0
2023-10-24,3421,0
2023-10-25,3401,2000
2023-10-26,2884,2826
2023-10-27,3732,3616
2023-10-28,4179,3880
2023-10-29,202,188
2023-10-30,429,0
2023-10-31,0,0
2023-11-01,0,0
2023-11-02,0,0
2023-11-03,0,0
2023-11-04,0,0
2023-11-05,0,0
2023-11-06,0,0
2023-11-07,0,0
2023-11-08,3816,0
2023-11-09,4779,0
2023-11-10,5574,0
2023-11-11,0,0
2023-11-12,0,0
2023-11-13,4,0
2023-11-14,94,0
2023-11-15,0,0
2023-11-16,0,0
2023-11-17,0,0
2023-11-18,0,0
2023-11-19,0,0
2023-11-20,0,0
2023-11-21,0,0
2023-11-22,0,0
2023-11-23,0,0
2023-11-24,0,0
2023-11-25,0,0
2023-11-26,0,0
2023-11-27,0,0
2023-11-28,0,0
2023-11-29,0,0
2023-11-30,0,0
2023-12-01,0,0
2023-12-02,0,0
2023-12-03,0,0
2023-12-04,0,0
2023-12-05,0,0
2023-12-06,0,0
2023-12-07,0,0
2023-12-08,0,0
2023-12-09,0,0
2023-12-10,0,0
2023-12-11,0,0
2023-12-12,0,0
2023-12-13,0,0
2023-12-14,30,1
2023-12-15,3338,3569
2023-12-16,5007,4516
2023-12-17,2706,2600
2023-12-18,3242,2663
2023-12-19,1721,2437
2023-12-20,36,333
2023-12-21,24,410
2023-12-22,0,0
2023-12-23,0,0
2023-12-24,0,0
2023-12-25,0,0
2023-12-26,0,0
2023-12-27,0,0
2023-12-28,0,0
2023-12-29,0,0
2023-12-30,0,0
2023-12-31,0,0
2024-01-01,0,0
2024-01-02,0,0
2024-01-03,0,0
2024-01-04,0,0
2024-01-05,0,0
2024-01-06,0,0
2024-01-07,0,0
2024-01-08,0,0
2024-01-09,0,0
2024-01-10,0,0
2024-01-11,0,0
2024-01-12,5947,5268
2024-01-13,4428,2364
2024-01-14,3752,3402
2024-01-15,4827,4290
2024-01-16,3037,973
2024-01-17,5184,4659
2024-01-18,5575,5064
2024-01-19,5069,1891
2024-01-20,4306,2728
2024-01-21,1103,954
2024-01-22,5395,4816
2024-01-23,5233,4692
2024-01-24,4747,4011
2024-01-25,3633,2214
2024-01-26,4932,1544
2024-01-27,4988,4458
2024-01-28,2566,956
2024-01-29,5063,3323
2024-01-30,5293,4522
2024-01-31,5605,5057
2024-02-01,5577,5085
2024-02-02,5670,5079
2024-02-03,5051,4613
2024-02-04,4370,3435
2024-02-05,5210,3827
2024-02-06,5814,5175
2024-02-07,5950,5345
2024-02-08,4578,4089
2024-02-09,6172,5560
2024-02-10,5413,4898
2024-02-11,4093,3659
2024-02-12,5947,5310
2024-02-13,1603,0
2024-02-14,5814,1864
2024-02-15,3198,2802
2024-02-16,5873,5226
2024-02-17,4522,3096
2024-02-18,4190,3812
2024-02-19,5198,4729
2024-02-20,4832,4359
2024-02-21,6086,5532
2024-02-22,5753,5265
2024-02-23,5957,5260
2024-02-24,2096,1933
2024-02-25,0,0
2024-02-26,0,0
2024-02-27,0,0
2024-02-28,0,0
2024-02-29,0,0
2024-03-01,0,0
2024-03-02,0,0
2024-03-03,0,0
2024-03-04,0,0
2024-03-05,0,0
2024-03-06,0,0
2024-03-07,0,0
2024-03-08,0,0
2024-03-09,0,0
2024-03-10,0,0
2024-03-11,0,0
2024-03-12,0,0
2024-03-13,0,0
2024-03-14,0,0
2024-03-15,0,0
2024-03-16,0,0
2024-03-17,0,0
2024-03-18,0,0
2024-03-19,0,0
2024-03-20,0,0
2024-03-21,0,0
2024-03-22,0,0
2024-03-23,0,0
2024-03-24,0,0
2024-03-25,0,0
2024-03-26,0,0
2024-03-27,0,0
2024-03-28,0,0
2024-03-29,0,0
2024-03-30,0,0
2024-03-31,0,0
2024-04-01,0,1
2024-04-02,0,0
2024-04-03,1141,1599
2024-04-04,2649,1842
2024-04-05,4928,4620
2024-04-06,5787,5527
2024-04-07,4742,4476
2024-04-08,6254,5919
2024-04-09,7246,6696
2024-04-10,6854,6549
2024-04-11,6299,5426
2024-04-12,6451,6029
2024-04-13,5828,5724
2024-04-14,5079,4839
2024-04-15,6630,6120
2024-04-16,6774,4443
2024-04-17,6646,6112
2024-04-18,5377,4794
2024-04-19,0,0
2024-04-20,0,0
2024-04-21,350,329
2024-04-22,6621,6025
2024-04-23,7116,6449
2024-04-24,5971,4122
2024-04-25,7394,6640
2024-04-26,7741,7133
2024-04-27,7705,7171
2024-04-28,4642,4318
2024-04-29,5387,1427
2024-04-30,7000,4143
2024-05-01,7261,6492
2024-05-02,7512,4061
2024-05-03,8076,5614
2024-05-04,7657,6650
2024-05-05,4900,4321
2024-05-06,6689,6092
2024-05-07,7846,6798
2024-05-08,7182,3499
2024-05-09,7184,0
2024-05-10,7634,0
2024-05-11,8044,0
2024-05-12,6058,5483
2024-05-13,6333,5329
2024-05-14,6420,3525
2024-05-15,178,0
2024-05-16,0,0
2024-05-17,0,0
2024-05-18,0,0
2024-05-19,4223,2088
2024-05-20,7347,1214
2024-05-21,7977,443
2024-05-22,2252,0
2024-05-23,7342,1422
2024-05-24,8426,51
2024-05-25,4280,0
2024-05-26,3826,0
2024-05-27,2305,0
2024-05-28,1765,0
2024-05-29,0,0
2024-05-30,0,0
2024-05-31,6629,78
2024-06-01,8636,2
2024-06-02,7629,0
2024-06-03,7309,0
2024-06-04,7662,0
2024-06-05,8085,0
2024-06-06,7377,0
2024-06-07,8775,0
2024-06-08,8975,0
2024-06-09,180,0
2024-06-10,0,0
2024-06-11,0,0
2024-06-12,0,0
2024-06-13,0,0
2024-06-14,0,0
2024-06-15,0,0
2024-06-16,0,0
2024-06-17,5511,0
2024-06-18,7345,0
2024-06-19,7831,0
2024-06-20,7872,0
2024-06-21,8038,3
2024-06-22,5449,0
2024-06-23,0,0
2024-06-24,0,0
2024-06-25,0,0
2024-06-26,7492,1542
2024-06-27,8383,0
2024-06-28,8405,4434
2024-06-29,2307,1720
2024-06-30,1324,0
2024-07-01,0,0
2024-07-02,0,0
2024-07-03,0,0
2024-07-04,0,0
2024-07-05,0,0
2024-07-06,0,0
2024-07-07,0,0
2024-07-08,0,0
2024-07-09,0,0
2024-07-10,116,0
2024-07-11,7548,0
2024-07-12,7874,0
2024-07-13,6612,0
2024-07-14,7230,0
2024-07-15,6433,0
2024-07-16,4670,0
2024-07-17,6290,0
2024-07-18,8094,0
2024-07-19,8396,0
2024-07-20,7745,0
2024-07-21,7690,0
2024-07-22,6819,0
2024-07-23,6841,0
2024-07-24,6963,4259
2024-07-25,7545,4361
2024-07-26,8416,4653
2024-07-27,7825,3729
2024-07-28,7609,2555
2024-07-29,6234,3945
2024-07-30,7209,6132
2024-07-31,6823,5090
2024-08-01,7604,6276
2024-08-02,7669,6416
2024-08-03,7421,5842
2024-08-04,6000,4963
2024-08-05,6745,5731
2024-08-06,6560,5255
2024-08-07,6407,5043
2024-08-08,6677,5067
2024-08-09,6457,4948
2024-08-10,7544,1243
2024-08-11,7467,0
2024-08-12,6660,0
2024-08-13,7353,0
2024-08-14,7429,0
2024-08-15,7835,0
2024-08-16,8282,0
2024-08-17,6660,0
2024-08-18,4394,0
2024-08-19,6548,0
2024-08-20,7384,1
2024-08-21,7628,0
2024-08-22,7981,5604
2024-08-23,8567,7079
2024-08-24,7542,6318
2024-08-25,7401,6168
2024-08-26,6562,5631
2024-08-27,7411,6219
2024-08-28,7254,6193
2024-08-29,7626,6407
2024-08-30,8432,7020
2024-08-31,6982,5794
2024-09-01,5855,5034
2024-09-02,6902,5793
2024-09-03,3764,1373
2024-09-04,7695,3218
2024-09-05,8223,3082
2024-09-06,8770,4573
2024-09-07,7934,3534
2024-09-08,8743,3379
2024-09-09,7313,4316
2024-09-10,7404,1684
2024-09-11,7599,0
2024-09-12,7765,0
2024-09-13,8207,3378
2024-09-14,8116,6775
2024-09-15,7887,6508
2024-09-16,5852,6113
2024-09-17,7083,6365
2024-09-18,7771,6618
2024-09-19,7373,6289
2024-09-20,8207,6907
2024-09-21,7478,6329
2024-09-22,6981,5906
2024-09-23,6908,5893
2024-09-24,7295,6230
2024-09-25,7413,6286
2024-09-26,6690,4169
2024-09-27,8367,0
2024-09-28,7564,0
2024-09-29,5830,0
2024-09-30,7035,0
2024-10-01,7201,0
2024-10-02,7552,0
2024-10-03,7840,0
2024-10-04,8568,0
2024-10-05,8202,0
2024-10-06,7377,0
2024-10-07,6720,2499
2024-10-08,7652,6341
2024-10-09,7283,6198
2024-10-10,7997,6416
2024-10-11,9202,7433
2024-10-12,12224,9570
2024-10-13,7663,6329
2024-10-14,6476,5411
2024-10-15,7205,5998
2024-10-16,7846,2203
2024-10-17,7533,6155
2024-10-18,8011,3564
2024-10-19,8614,4131
2024-10-20,8254,2
2024-10-21,7744,3250
2024-10-22,7659,3376
2024-10-23,8200,6537
2024-10-24,7245,5800
2024-10-25,7816,6133
2024-10-26,7589,5086
2024-10-27,6145,5170
2024-10-28,6498,5477
2024-10-29,6675,5586
2024-10-30,7231,2961
2024-10-31,7431,3022
2024-11-01,7810,0
2024-11-02,6703,0
2024-11-03,5275,4445
2024-11-04,5937,4972
2024-11-05,7664,3088
2024-11-06,8059,1734
2024-11-07,5603,2049
2024-11-08,2691,20
2024-11-09,2725,52
2024-11-10,2885,14
2024-11-11,2499,70
2024-11-12,2680,148
2024-11-13,2890,34
2024-11-14,2056,44
2024-11-15,2991,32
2024-11-16,2515,16
2024-11-17,1978,16
2024-11-18,2609,38
2024-11-19,2608,6
2024-11-20,2609,10
2024-11-21,1716,108
2024-11-22,1502,149
2024-11-23,1146,14
2024-11-24,864,1
2024-11-25,1185,77
2024-11-26,1297,4
2024-11-27,3144,44
2024-11-28,1070,36
2024-11-29,2784,2
2024-11-30,3691,0
2024-12-01,2947,2
2024-12-02,3158,30
2024-12-03,3003,20
2024-12-04,2452,4
2024-12-05,1072,90
2024-12-06,6886,5120
2024-12-07,5635,3612
2024-12-08,4359,3563
2024-12-09,5201,4162
2024-12-10,5171,4216
2024-12-11,4357,3339
2024-12-12,6245,4960
2024-12-13,7969,5169
2024-12-14,6501,4497
2024-12-15,4059,220
2024-12-16,4376,795
2024-12-17,5929,2358
2024-12-18,7436,3416
2024-12-19,7908,5255
2024-12-20,6078,5157
2024-12-21,5376,4265
2024-12-22,4380,3381
2024-12-23,6633,4934
2024-12-24,4920,4244
2024-12-25,3680,2585
2024-12-26,5002,3881
2024-12-27,6502,3243
2024-12-28,3706,3130
2024-12-29,3448,3031
2024-12-30,4941,1300
2024-12-31,5384,3885
2025-01-01,2991,2447
2025-01-02,5059,4325
2025-01-03,6109,4758
2025-01-04,5272,4028
2025-01-05,3952,3429
2025-01-06,4884,4306
2025-01-07,5261,4349
2025-01-08,6118,4633
2025-01-09,5739,4710
2025-01-10,6723,5101
2025-01-11,4279,3734
2025-01-12,4753,3635
2025-01-13,5458,4670
2025-01-14,6092,4667
2025-01-15,6311,4941
2025-01-16,5747,4934
2025-01-17,5954,5079
2025-01-18,5302,4469
2025-01-19,4256,3768
2025-01-20,3803,2130
2025-01-21,5208,4493
2025-01-22,5319,4556
2025-01-23,5558,4694
2025-01-24,6082,5105
2025-01-25,5093,4325
2025-01-26,4368,202
2025-01-27,5333,4599
2025-01-28,5343,4680
2025-01-29,5716,4907
2025-01-30,5812,5033
2025-01-31,5017,4139
2025-02-01,5034,4458
2025-02-02,3815,3437
2025-02-03,4902,2456
2025-02-04,5661,4988
2025-02-05,5796,5037
2025-02-06,2522,152
2025-02-07,5936,2988
2025-02-08,4832,4301
2025-02-09,2503,0
2025-02-10,5214,3406
2025-02-11,5386,4778
2025-02-12,5631,2
2025-02-13,4936,1714
2025-02-14,6212,5455
2025-02-15,4638,4171
2025-02-16,1916,0
2025-02-17,4581,0
2025-02-18,5593,0
2025-02-19,5676,8
2025-02-20,5520,0
2025-02-21,6029,492
2025-02-22,5113,4404
2025-02-23,4519,4047
2025-02-24,5512,4862
2025-02-25,5803,5032
2025-02-26,6088,5225
2025-02-27,5584,4811
2025-02-28,6091,5519
2025-03-01,5219,4061
2025-03-02,4100,3669
2025-03-03,5363,805
2025-03-04,5964,5270
2025-03-05,5535,3566
2025-03-06,5996,5248
2025-03-07,6118,5383
2025-03-08,4891,4362
2025-03-09,4336,3959
2025-03-10,5896,2889
2025-03-11,6298,0
